,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
245868,212011367,7/7/2021 0:00,7/6/2021 0:00,1700,20,Olympic,2025,2,354,THEFT OF IDENTITY,0100 0929 1822,45,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,300 S  ALEXANDRIA                   AV,,34.0672,-118.2979
240250,211221745,10/18/2021 0:00,10/18/2021 0:00,2045,12,77th Street,1239,2,623,BATTERY POLICE (SIMPLE),1212 0400 0401 1206,0,X,X,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,623.0,,,,500 W  62ND                         ST,,33.9863,-118.2881
439684,221416737,9/21/2022 0:00,9/21/2022 0:00,2140,14,Pacific,1427,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),344,0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,442.0,,,,3000 S  SEPULVEDA                    BL,,34.0274,-118.4287
197140,201516497,10/19/2020 0:00,10/19/2020 0:00,1,15,N Hollywood,1566,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,10800    WHIPPLE                      ST,,34.1481,-118.365
640569,220905692,2/10/2022 0:00,2/10/2022 0:00,1405,9,Van Nuys,985,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0444 0432 0216 1822 0302,24,M,W,108.0,PARKING LOT,102.0,HAND GUN,IC,Invest Cont,230.0,,,,4600    VAN NUYS                     BL,,34.15,-118.4424
607081,220914469,9/30/2022 0:00,9/1/2022 0:00,1120,9,Van Nuys,926,2,354,THEFT OF IDENTITY,930,33,F,W,405.0,CLOTHING STORE,,,IC,Invest Cont,354.0,,,,6400    HAZELTINE                    AV,,34.1867,-118.44
333710,210118971,10/20/2021 0:00,10/19/2021 0:00,1830,1,Central,162,1,510,VEHICLE - STOLEN,,0,,,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,510.0,,,,800 S  HILL                         ST,,34.0462,-118.2585
560782,221712803,7/18/2022 0:00,7/3/2022 0:00,1,17,Devonshire,1796,2,354,THEFT OF IDENTITY,0935 0927 0922,26,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,16900    NAPA                         ST,,34.2267,-118.5
203009,211313589,8/1/2021 0:00,8/1/2021 0:00,1810,13,Newton,1346,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1202 0421 0432 0913 0906,67,F,H,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,AO,Adult Other,930.0,,,,4100    ASCOT                        AV,,34.0085,-118.2494
57207,200810085,5/30/2020 0:00,5/30/2020 0:00,2130,8,West LA,839,2,624,BATTERY - SIMPLE ASSAULT,0209 0400 0416 0444 1266,0,X,X,727.0,SHOPPING MALL (COMMON AREA),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,10200    SANTA MONICA                 BL,,34.0605,-118.4193
932731,241511505,6/24/2024 0:00,6/23/2024 0:00,2100,15,N Hollywood,1546,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,IRVING                       BL,MAGNOLIA                     BL,34.1629,-118.3848
612203,220115805,7/6/2022 0:00,7/2/2022 0:00,13,1,Central,154,2,354,THEFT OF IDENTITY,0377 1822 0344,45,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,500 S  MAIN                         ST,,34.0467,-118.2485
536151,220310723,5/15/2022 0:00,5/15/2022 0:00,1750,3,Southwest,362,1,210,ROBBERY,0940 1913 1822 0344 0352 0346 1251,18,M,B,102.0,SIDEWALK,511.0,VERBAL THREAT,IC,Invest Cont,210.0,,,,4500    AUGUST                       ST,,34.016,-118.3473
59135,200321580,12/11/2020 0:00,12/9/2020 0:00,800,3,Southwest,375,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,55,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,1800    LEIGHTON                     AV,,34.0128,-118.3133
240828,212116893,11/26/2021 0:00,11/26/2021 0:00,1030,21,Topanga,2156,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 2000 0408 0913 1814,34,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,230.0,,,,6200    OWENSMOUTH                   AV,,34.1829,-118.6015
521201,220209623,4/30/2022 0:00,4/2/2022 0:00,923,2,Rampart,231,2,354,THEFT OF IDENTITY,0100 0935,31,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,200 S  RENO                         ST,,34.0682,-118.2833
623168,222109377,5/18/2022 0:00,5/18/2022 0:00,2015,21,Topanga,2134,1,210,ROBBERY,1822 0325 0945 0334,35,M,X,402.0,MARKET,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,210.0,,,,22300    SHERMAN                      WY,,34.201,-118.6134
909751,240706958,3/10/2024 0:00,3/10/2024 0:00,2000,7,Wilshire,769,2,624,BATTERY - SIMPLE ASSAULT,0419 0605,18,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,W  PICO                         BL,ARLINGTON                    AV,34.0472,-118.318
806858,231400744,4/8/2023 0:00,4/7/2023 0:00,2035,14,Pacific,1491,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 1100 0430 1407,16,M,B,117.0,BEACH,102.0,HAND GUN,IC,Invest Cont,230.0,998.0,,,9500    VISTA DEL MAR,,33.9355,-118.4386
881584,241704681,1/17/2024 0:00,1/16/2024 0:00,2000,17,Devonshire,1735,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,17300    TULSA                        ST,,34.2685,-118.511
517753,221915633,10/13/2022 0:00,9/15/2022 0:00,1200,19,Mission,1982,1,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,1258 1501 1822,0,F,H,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,235.0,812.0,,,8800    BURNET                       AV,,34.2301,-118.4633
301504,211610244,8/4/2021 0:00,8/2/2021 0:00,300,16,Foothill,1654,1,121,"RAPE, FORCIBLE",1218 1415 1402 0500 0527,48,F,H,509.0,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121.0,998.0,,,MONTAGUE                     ST,NORRIS                       AV,34.2552,-118.4009
557410,220213948,7/27/2022 0:00,7/27/2022 0:00,2140,2,Rampart,279,1,210,ROBBERY,1822 0342 0334 0355 0432 0344 1300 0326,40,M,H,102.0,SIDEWALK,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210.0,,,,JAMES M WOOD,GRATTAN,34.0504,-118.2722
914264,240108722,3/8/2024 0:00,3/8/2024 0:00,1105,1,Central,111,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,HILL,ORD,34.0607,-118.2405
279161,211005379,2/15/2021 0:00,2/13/2021 0:00,1730,10,West Valley,1094,1,310,BURGLARY,0344 1609 1822 0321 1402 0389,52,F,W,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,310.0,998.0,,,4700    WHITE OAK                    PL,,34.1437,-118.5319
471080,220707335,3/29/2022 0:00,2/3/2022 0:00,1200,7,Wilshire,765,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,1300 S  HIGHLAND                     AV,,34.0496,-118.3429
328810,210816131,11/5/2021 0:00,10/7/2021 0:00,322,8,West LA,889,2,354,THEFT OF IDENTITY,0929 1822,52,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,2000 S  HOLT                         AV,,34.0395,-118.3818
723667,231215991,7/19/2023 0:00,7/19/2023 0:00,400,12,77th Street,1263,2,624,BATTERY - SIMPLE ASSAULT,0416 0429 0417 1309,43,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,83RD                         ST,WESTERN                      AV,33.9637,-118.309
568169,220404586,1/20/2022 0:00,1/18/2022 0:00,2200,4,Hollenbeck,499,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1200    PRADO                        ST,,34.0189,-118.1943
995399,240611076,8/9/2024 0:00,7/12/2024 0:00,210,6,Hollywood,643,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,0,X,X,504.0,OTHER RESIDENCE,,,IC,Invest Cont,740.0,,,,1500 N  DETROIT                      ST,,34.098,-118.3456
614444,221710477,5/19/2022 0:00,5/18/2022 0:00,1325,17,Devonshire,1767,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,23,F,A,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956.0,,,,9500    RESEDA                       BL,,34.2427,-118.5361
782943,231404998,1/20/2023 0:00,1/20/2023 0:00,2020,14,Pacific,1413,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394,27,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440.0,,,,300    BROOKS                       AV,,33.993,-118.4733
425154,220413729,9/29/2022 0:00,9/28/2022 0:00,1930,4,Hollenbeck,429,1,330,BURGLARY FROM VEHICLE,1302 0344 1300,53,F,W,506.0,ABANDONED BUILDING ABANDONED HOUSE,,,IC,Invest Cont,330.0,,,,3800    SHEFFIELD                    AV,,34.0889,-118.1616
65698,200214795,9/9/2020 0:00,9/8/2020 0:00,2030,2,Rampart,256,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0416 0446 0429 0421 0334,38,M,H,101.0,STREET,206.0,SWITCH BLADE,IC,Invest Cont,230.0,,,,7TH,BURLINGTON,34.055,-118.2735
530643,220309995,5/2/2022 0:00,2/22/2022 0:00,1245,3,Southwest,333,1,310,BURGLARY,0358 1607 0344 1822 1275,21,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,2800    BUCKINGHAM                   RD,,34.0311,-118.3405
833878,230716314,10/26/2023 0:00,10/13/2023 0:00,1,7,Wilshire,745,2,354,THEFT OF IDENTITY,1822 0930,63,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,5600    WILSHIRE                     BL,,34.0624,-118.351
307925,210613942,8/7/2021 0:00,8/7/2021 0:00,1220,6,Hollywood,663,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0443 1822 1300 0334,28,F,H,210.0,RESTAURANT/FAST FOOD,511.0,VERBAL THREAT,IC,Invest Cont,230.0,761.0,930.0,,1200 N  HIGHLAND                     AV,,34.0926,-118.3386
54771,200214159,8/23/2020 0:00,8/22/2020 0:00,800,2,Rampart,269,1,330,BURGLARY FROM VEHICLE,1300 0329 0344 1609 1307 1822 1251 1402,23,M,A,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330.0,,,,700 S  BIXEL                        ST,,34.0507,-118.2643
909505,240812488,12/10/2024 0:00,12/8/2024 0:00,2200,8,West LA,841,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1822,28,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740.0,,,,1400 S  SALTAIR                      AV,,34.0428,-118.4639
170902,201318722,10/20/2020 0:00,10/20/2020 0:00,515,13,Newton,1372,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 0432 0302 0906 0430 1822,32,M,B,102.0,SIDEWALK,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,230.0,,,,53RD                         ST,SAN PEDRO                    ST,33.9943,-118.2701
414165,220104714,1/13/2022 0:00,1/13/2022 0:00,510,1,Central,119,1,110,CRIMINAL HOMICIDE,0429 1414 1402 0400 0416 1822 2004,70,F,B,128.0,BUS STOP/LAYOVER (ALSO QUERY 124),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,110.0,998.0,,,CESAR E CHAVEZ,VIGNES,34.0566,-118.2318
365654,212014299,9/14/2021 0:00,9/12/2021 0:00,1600,20,Olympic,2002,1,310,BURGLARY,0321 0344 0352 1221 1822,46,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,600 N  MANHATTAN                    PL,,34.0816,-118.3102
201739,210411226,7/30/2021 0:00,7/29/2021 0:00,1800,4,Hollenbeck,477,1,330,BURGLARY FROM VEHICLE,0344 1302,24,F,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,900    CAMULOS                      ST,,34.0314,-118.2103
189396,201918491,12/28/2020 0:00,12/27/2020 0:00,1845,19,Mission,1913,2,624,BATTERY - SIMPLE ASSAULT,0416 0913 0561,43,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,15000    LA VALLE                     ST,,34.3091,-118.4593
881002,241913526,12/4/2024 0:00,12/3/2024 0:00,2300,19,Mission,1913,1,510,VEHICLE - STOLEN,,0,,,104.0,DRIVEWAY,,,IC,Invest Cont,510.0,,,,14700    POLK                         ST,,34.3089,-118.4613
533665,221511630,6/26/2022 0:00,6/14/2022 0:00,940,15,N Hollywood,1514,2,354,THEFT OF IDENTITY,377,28,F,H,410.0,"MEMBERSHIP STORE (COSTCO,SAMS CLUB)*",,,IC,Invest Cont,354.0,,,,6800    BEN                          AV,,34.194,-118.3943
459051,220514792,10/13/2022 0:00,10/12/2022 0:00,2000,5,Harbor,529,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,BERTH 203,PACIFIC YACH,33.7753,-118.2456
665873,231804285,1/4/2023 0:00,1/2/2023 0:00,635,18,Southeast,1822,2,354,THEFT OF IDENTITY,0922 1822,44,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,100 E  104TH                        ST,,33.9469,-118.2772
615832,221312143,6/1/2022 0:00,5/31/2022 0:00,1700,13,Newton,1361,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,4900 S  BROADWAY,,33.9983,-118.2783
130455,201412239,6/12/2020 0:00,6/12/2020 0:00,2329,14,Pacific,1409,2,901,VIOLATION OF RESTRAINING ORDER,2004 1501,58,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,901.0,,,,3700    WATSEKA                      AV,,34.0267,-118.3986
675515,231212119,5/16/2023 0:00,5/16/2023 0:00,1415,12,77th Street,1233,2,888,TRESPASSING,1822,0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,888.0,,,,5900 S  WESTERN                      AV,,33.9875,-118.3089
361066,211813182,7/7/2021 0:00,7/6/2021 0:00,1300,18,Southeast,1837,2,624,BATTERY - SIMPLE ASSAULT,1202 1822 0416 2004 1218 2021,63,F,B,103.0,ALLEY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,112TH,MAIE                         AV,33.933,-118.2426
816313,230917988,12/29/2023 0:00,12/18/2023 0:00,1700,9,Van Nuys,923,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,VANOWEN                      BL,KESTER                       AV,34.1939,-118.4574
91991,200117383,9/3/2020 0:00,9/3/2020 0:00,1150,1,Central,185,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,27,M,H,702.0,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,745.0,,,,900 S  MAIN                         ST,,34.0413,-118.2554
369370,210608900,4/24/2021 0:00,4/24/2021 0:00,1745,6,Hollywood,638,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1300 1309 0400 1310 0416 1822,27,F,H,101.0,STREET,307.0,VEHICLE,AO,Adult Other,230.0,,,,WESTERN,HOLLYWOOD,34.1022,-118.3093
560441,221106408,3/7/2022 0:00,3/7/2022 0:00,600,11,Northeast,1135,2,753,DISCHARGE FIREARMS/SHOTS FIRED,1100 1822 1407 1309 0334,0,F,W,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,753.0,998.0,,,2300    YORKSHIRE                    DR,,34.1089,-118.2298
554080,220207534,3/5/2022 0:00,3/5/2022 0:00,1338,2,Rampart,299,1,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",0906 1100 0450 1822,0,X,X,101.0,STREET,104.0,SHOTGUN,AA,Adult Arrest,250.0,,,,OAK                          ST,VENICE                       BL,34.0399,-118.2756
673105,231809843,5/2/2023 0:00,4/2/2023 0:00,1900,18,Southeast,1821,1,820,ORAL COPULATION,1822 2023 1259 1300 0542 0526 0512,15,M,B,122.0,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812.0,820.0,,,FIGUEROA,CENTURY,33.9455,-118.2826
781715,231516138,10/16/2023 0:00,10/15/2023 0:00,2130,15,N Hollywood,1535,2,624,BATTERY - SIMPLE ASSAULT,0446 0429 0552 1242,47,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,11400    TIARA                        ST,,34.1785,-118.379
41204,200708290,4/15/2020 0:00,4/15/2020 0:00,454,7,Wilshire,706,1,310,BURGLARY,1414 0344 1607,52,M,A,202.0,LIQUOR STORE,,,IC,Invest Cont,310.0,,,,6900    MELROSE                      AV,,34.0835,-118.3416
346752,210900744,8/8/2021 0:00,8/8/2021 0:00,840,9,Van Nuys,935,1,761,BRANDISH WEAPON,2002 0334 0913 1402,0,M,B,518.0,TRANSITIONAL HOUSING/HALFWAY HOUSE,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,761.0,998.0,,,14100    FRIAR                        ST,,34.1857,-118.4443
795032,231314251,7/20/2023 0:00,7/11/2023 0:00,1230,13,Newton,1321,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1309 0385 0344,39,M,A,108.0,PARKING LOT,,,IC,Invest Cont,331.0,,,,2300 S  BROADWAY,,34.028,-118.268
36480,200307108,2/20/2020 0:00,2/20/2020 0:00,2130,3,Southwest,336,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0429 0408 1814 1243 1813 0338 0913,23,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236.0,,,,2200 W  30TH                         ST,,34.0274,-118.3152
299380,211810490,5/15/2021 0:00,5/15/2021 0:00,2050,18,Southeast,1827,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 1300 1822 0450 2033,35,F,B,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,230.0,,,,103RD                        ST,GRAPE                        ST,33.9431,-118.2368
992520,240709802,6/28/2024 0:00,6/26/2024 0:00,2050,7,Wilshire,724,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0344 1822 0325 0104,0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,343.0,,,,100    THE GROVE                    DR,,34.0736,-118.3563
409052,211416191,8/6/2021 0:00,8/6/2021 0:00,800,14,Pacific,1415,1,480,BIKE - STOLEN,2032 0344,33,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,480.0,,,,1400    LINCOLN                      BL,,33.9976,-118.46
66958,200215874,10/6/2020 0:00,10/6/2020 0:00,800,2,Rampart,269,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1822 0443 0334 0359,32,M,W,103.0,ALLEY,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,1500    CAMBRIA                      ST,,34.0523,-118.2699
973131,242108817,5/6/2024 0:00,5/6/2024 0:00,1300,21,Topanga,2137,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1606,52,M,H,108.0,PARKING LOT,,,IC,Invest Cont,331.0,,,,20800    SHERMAN                      WY,,34.2011,-118.5911
743078,231107055,3/22/2023 0:00,3/22/2023 0:00,1400,11,Northeast,1128,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,ROBLE                        AV,AVENUE 64,34.1225,-118.1818
627669,220127121,12/26/2022 0:00,12/23/2022 0:00,2100,1,Central,182,1,330,BURGLARY FROM VEHICLE,0329 0344 1300 1307 1822 1609,37,M,B,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,1000 S  FLOWER                       ST,,34.0444,-118.2628
674715,230507190,3/28/2023 0:00,3/28/2023 0:00,2220,5,Harbor,506,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 1402 2000 2002 0416 0400 1813,56,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,998.0,,,1300 W  222ND                        ST,,33.831,-118.3042
49314,200612497,7/12/2020 0:00,6/11/2020 0:00,1130,6,Hollywood,646,2,625,OTHER ASSAULT,0522 1822,21,F,W,404.0,DEPARTMENT STORE,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,625.0,,,,1500    VINE                         ST,,34.0987,-118.3337
960794,242009571,6/12/2024 0:00,6/11/2024 0:00,1810,20,Olympic,2031,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1822 0385 0344,29,F,B,503.0,HOTEL,,,IC,Invest Cont,420.0,,,,3900    WILSHIRE                     BL,,34.0617,-118.3115
277475,210313331,7/21/2021 0:00,7/21/2021 0:00,800,3,Southwest,363,2,900,VIOLATION OF COURT ORDER,2000 0913 2038 1309,32,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,900.0,,,,4000    HILLCREST                    DR,,34.0127,-118.3477
759428,230308112,3/21/2023 0:00,3/21/2023 0:00,1430,3,Southwest,362,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0913 0329 1300,62,M,B,103.0,ALLEY,205.0,KITCHEN KNIFE,IC,Invest Cont,740.0,,,,4600    COLISEUM                     ST,,34.0169,-118.3472
161429,202113982,9/20/2020 0:00,9/20/2020 0:00,1855,21,Topanga,2173,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,22800 W  VENTURA                      BL,,34.1658,-118.6239
673249,231516119,10/15/2023 0:00,10/9/2023 0:00,600,15,N Hollywood,1512,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,6600    COLDWATER CANYON             AV,,34.1903,-118.4138
854273,232117855,12/19/2023 0:00,12/19/2023 0:00,1100,21,Topanga,2183,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0352 1218 0345,34,M,B,108.0,PARKING LOT,,,IC,Invest Cont,440.0,,,,23300    MULHOLLAND                   DR,,34.1548,-118.6333
839459,230107620,2/24/2023 0:00,2/22/2023 0:00,2008,1,Central,142,1,330,BURGLARY FROM VEHICLE,1307 0344 0329,31,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,400 S  FIGUEROA                     ST,,34.0535,-118.256
223071,210308965,4/7/2021 0:00,4/2/2021 0:00,1745,3,Southwest,314,2,354,THEFT OF IDENTITY,0100 0922 1822,43,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,3700 W  27TH                         ST,,34.0312,-118.3239
730751,231415655,8/6/2023 0:00,8/6/2023 0:00,1715,14,Pacific,1483,2,624,BATTERY - SIMPLE ASSAULT,0416 0446 1822 1309,65,M,O,109.0,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,9000    LINCOLN                      BL,,33.9568,-118.429
550294,231204027,1/1/2023 0:00,12/31/2022 0:00,2300,12,77th Street,1267,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1202 0329,61,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745.0,,,,800 W  84TH                         ST,,33.9624,-118.2871
127896,201908334,4/2/2020 0:00,4/1/2020 0:00,2100,19,Mission,1921,1,510,VEHICLE - STOLEN,,0,,,104.0,DRIVEWAY,,,IC,Invest Cont,510.0,,,,15500    EL CAJON                     ST,,34.3044,-118.4693
494740,221209712,4/11/2022 0:00,4/10/2022 0:00,2200,12,77th Street,1268,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,100 W  82ND                         ST,,33.9651,-118.2739
765436,231910512,6/13/2023 0:00,6/4/2023 0:00,1340,19,Mission,1995,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,25,F,H,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,956.0,998.0,,,8000    NATICK                       AV,,34.2161,-118.4544
176414,211505649,2/14/2021 0:00,12/1/2020 0:00,1200,15,N Hollywood,1516,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",,42,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956.0,,,,6600    TROOST                       AV,,34.1903,-118.3867
267609,212105212,2/5/2021 0:00,2/5/2021 0:00,1555,21,Topanga,2134,2,624,BATTERY - SIMPLE ASSAULT,416,58,M,O,719.0,MEDICAL/DENTAL OFFICES,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,7100    SHOUP                        AV,,34.1996,-118.6147
184165,201419422,10/29/2020 0:00,9/22/2020 0:00,1600,14,Pacific,1497,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0344 1300,0,X,X,203.0,OTHER BUSINESS,,,AO,Adult Other,668.0,,,,5500 W  CENTURY                      BL,,33.9453,-118.3769
999132,241411337,7/15/2024 0:00,7/15/2024 0:00,1331,14,Pacific,1444,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),344,0,X,X,202.0,LIQUOR STORE,,,IC,Invest Cont,442.0,,,,4200    LINCOLN                      BL,,33.9868,-118.4444
